Kiswahili;Deutsch;Zusatz de;Wortart;Klasse;Animate;Singular Kiswahili;Klasse Singular;Plural Kiswahili;Klasse Plural;Plural Deutsch;Einsilbig;Verbstamm;Infinitiv;Thema;Anmerkung
karibu;in der Nähe, nahe, bald, kürzlich;;Sonstige;;0;;;;;;0;;;Allgemein;
na kadhalika;und so weiter (usw.);;Sonstige;;0;;;;;;0;;;Allgemein;
juu ya;über;;Sonstige;;;;;;;;;;;Allgemein;
katika;in;;Sonstige;;0;;;;;;0;;;Allgemein;
kila;jeder;;Sonstige;;;;;;;;;;;Allgemein;
kila mara;jedes Mal;;Sonstige;;0;;;;;;0;;;Allgemein;
kama;wie;;Sonstige;;0;;;;;;0;;;Allgemein;
peke y(angu);alleine;;Sonstige;;0;;;;;;0;;;Allgemein;
mapema;früh, frühzeitig;;Sonstige;;0;;;;;;0;;;Allgemein;
fulani;jemand;;Sonstige;;0;;;;;;0;;;Allgemein;
nje ya;ausserhalb von;;Sonstige;;0;;;;;;0;;;Allgemein;
sivyo!;Es ist nicht so!;;Sonstige;;0;;;;;;0;;;Allgemein;
au … au …;entweder … oder …;;Sonstige;;0;;;;;;0;;;Allgemein;
wala;(weder …) noch;;Sonstige;;0;;;;;;0;;;Allgemein;
tena;wieder, nochmal, erneut, … und ausserdem …;;Sonstige;;0;;;;;;0;;;Allgemein;
nje;aussen;;Sonstige;;;;;;;;;;;Allgemein;
tangu;seit;;Sonstige;;0;;;;;;0;;;Allgemein;
yaani;das heisst (d.h.);;Sonstige;;0;;;;;;0;;;Allgemein;
bado;immer noch;;Adverb;;0;;;;;;0;;;Allgemein;
bila shaka;zweifellos;;Ausdruck;;;;;;;;;;;Allgemein;
tangu sasa;von nun an;;Sonstige;;0;;;;;;0;;;Allgemein;
baada ya;nach (zeitlich);;Sonstige;;0;;;;;;;;;Zeit, Zeitrechnung;gefolgt von Substantiv oder Infinitiv
basi;Schluss!, genug, fertig, nun denn, also, so, kurzum;;Sonstige;;0;;;;;;0;;;Allgemein;
mhandisi;Ingenieur;;Substantiv;1/2;0;mhandisi;1;wahandisi;2;Ingenieure;0;;;Allgemein;
mtoto;Kind;;Substantiv;1/2;0;mtoto;1;watoto;2;Kinder;0;;;Allgemein;
mwalimu;Lehrer;;Substantiv;1/2;0;mwalimu;1;walimu;2;Lehrer (Pl.);0;;;Allgemein;
mgeni;Gast;;Substantiv;1/2;0;mgeni;1;wageni;2;Gäste;0;;;Allgemein;
mume;Ehemann;;Substantiv;1/2;0;mume;1;waume;2;Ehemänner;0;;;Allgemein;
mtu;Mensch, Person;;Substantiv;1/2;0;mtu;1;watu;2;Menschen, Personen;0;;;Allgemein;
mpishi;Koch;;Substantiv;1/2;0;mpishi;1;wapishi;2;Köche;0;;;Allgemein;
mhasibu;Buchhalter, Finanzverwalter;;Substantiv;1/2;0;mhasibu;1;wahasibu;2;Buchhalter (Pl.);0;;;Allgemein;
