Kiswahili;Deutsch;Zusatz de;Wortart;Klasse;Animate;Singular Kiswahili;Klasse Singular;Plural Kiswahili;Klasse Plural;Plural Deutsch;Einsilbig;Verbstamm;Infinitiv;Thema;Anmerkung
-baya;böse;;Adjektiv;;;;;;;;;;;Allgemein;
-chache;einige;;Adjektiv;;;;;;;;;;;Allgemein;
-chache;wenige;;Adjektiv;;;;;;;;;;;Allgemein;
-inigine;anderes;;Adjektiv;;;;;;;;;;;Allgemein;
-inigine;verschieden;;Adjektiv;;;;;;;;;;;Allgemein;
-kali;stark;;Adjektiv;;;;;;;;;;;Allgemein;
-kali;intensiv;;Adjektiv;;;;;;;;;;;Allgemein;
-kali;heiss;;Adjektiv;;;;;;;;;;;Allgemein;
kamili;völlig;;Adjektiv;;;;;;;;;;;Allgemein;
kamili;ganz;;Adjektiv;;;;;;;;;;;Allgemein;
kamili;genau;;Adjektiv;;;;;;;;;;;Allgemein;
kamili;unversehrt;;Adjektiv;;;;;;;;;;;Allgemein;
kamili;perfekt;;Adjektiv;;;;;;;;;;;Allgemein;
-kuu;bedeutend;;Adjektiv;;;;;;;;;;;Allgemein;
-kuu;berühmt;;Adjektiv;;;;;;;;;;;Allgemein;
mbali;entfernt;;Adverb;;;;;;;;;;;Allgemein;
mbali;entlegen;;Adverb;;;;;;;;;;;Allgemein;
-moja;ein;;Adjektiv;;;;;;;;;;;Allgemein;
-ngapi;wieviele;;Adjektiv;;;;;;;;;;;Allgemein;
-ote;alles;;Adjektiv;;;;;;;;;;;Allgemein;
-ote;ganz;;Adjektiv;;;;;;;;;;;Allgemein;
-ote;gesamt;;Adjektiv;;;;;;;;;;;Allgemein;
-refu;gross;;Adjektiv;;;;;;;;;;;Allgemein;
-refu;hoch;;Adjektiv;;;;;;;;;;;Allgemein;
taratibu;vorsichtig;;Adjektiv;;;;;;;;;;;Allgemein;
taratibu;ordentlich;;Adjektiv;;;;;;;;;;;Allgemein;
taratibu;besonnen;;Adjektiv;;;;;;;;;;;Allgemein;
-zima;gesamt;;Adjektiv;;;;;;;;;;;Allgemein;
-zima;heil;;Adjektiv;;;;;;;;;;;Allgemein;
-zima;intakt;;Adjektiv;;;;;;;;;;;Allgemein;
-zima;lebend;;Adjektiv;;;;;;;;;;;Allgemein;
-zuri;hübsch;;Adjektiv;;;;;;;;;;;Allgemein;
-zuri;gut;;Adjektiv;;;;;;;;;;;Allgemein;
-hitaji;benötigen;;Verb;;;;;;;;0;hitaji;kuhitaji;Allgemein;
-hitaji;erfordern;;Verb;;;;;;;;0;hitaji;kuhitaji;Allgemein;
-hitaji;notwendig sein;;Verb;;;;;;;;0;hitaji;kuhitaji;Allgemein;
-jenga;errichten;;Verb;;;;;;;;0;jenga;kujenga;Arbeit, Handwerk;
-jenga;erbauen;;Verb;;;;;;;;0;jenga;kujenga;Arbeit, Handwerk;
-jenga;aufbauen;;Verb;;;;;;;;0;jenga;kujenga;Arbeit, Handwerk;
-kimbia;rennen;;Verb;;;;;;;;0;kimbia;kukimbia;Allgemein;
-kimbia;wegrennen;;Verb;;;;;;;;0;kimbia;kukimbia;Allgemein;
-kimbia;flüchten;;Verb;;;;;;;;0;kimbia;kukimbia;Allgemein;
-kimbia;ausreissen;;Verb;;;;;;;;0;kimbia;kukimbia;Allgemein;
-kinga;bewahren;;Verb;;;;;;;;0;kinga;kukinga;Allgemein;
-kumbuka;beachten;;Verb;;;;;;;;0;kumbuka;kukumbuka;Allgemein;
-kuta;begegnen;;Verb;;;;;;;;0;kuta;kukuta;Allgemein;
-ona mbele;vorausschauen;;Verb;;;;;;;;0;ona mbele;kuona mbele;Allgemein;
-ongeza;hinzufügen;;Verb;;;;;;;;0;ongeza;kuongeza;Allgemein;
-ongeza;addieren;;Verb;;;;;;;;0;ongeza;kuongeza;Allgemein;
-ongeza;ergänzen;;Verb;;;;;;;;0;ongeza;kuongeza;Allgemein;
-ongoza;anleiten;;Verb;;;;;;;;0;ongoza;kuongoza;Allgemein;
-pata afya;gesunden;;Verb;;;;;;;;0;pata afya;kupata afya;Allgemein;
-patana;sich (wieder) vertragen;;Verb;;;;;;;;0;patana;kupatana;Allgemein;
-penda;mögen;;Verb;;;;;;;;0;penda;kupenda;Allgemein;
-penda;wollen;;Verb;;;;;;;;0;penda;kupenda;Allgemein;
-penda;möchten;;Verb;;;;;;;;0;penda;kupenda;Allgemein;
-piga kelele;Lärm machen;;Verb;;;;;;;;0;piga kelele;kupiga kelele;Allgemein;
-piga kelele;laut sein;;Verb;;;;;;;;0;piga kelele;kupiga kelele;Allgemein;
-piga kengele;klingeln;;Verb;;;;;;;;0;piga kengele;kupiga kengele;Allgemein;
-pona;gesund werden;;Verb;;;;;;;;0;pona;kupona;Allgemein;
-pona;einer Gefahr entrinnen;;Verb;;;;;;;;0;pona;kupona;Allgemein;
-pona;funktionstüchtig werden;;Verb;;;;;;;;0;pona;kupona;Allgemein;
-pumzika;sich erholen;;Verb;;;;;;;;0;pumzika;kupumzika;Allgemein;
-pumzika;entspannen;;Verb;;;;;;;;0;pumzika;kupumzika;Allgemein;
-pumzika;Pause machen;;Verb;;;;;;;;0;pumzika;kupumzika;Allgemein;
-uliza;befragen;;Verb;;;;;;;;0;uliza;kuuliza;Allgemein;
-uma;wehtun;;Verb;;;;;;;;0;uma;kuuma;Allgemein;
-umwa;Schmerzen haben;;Verb;;;;;;;;0;umwa;kuumwa;Allgemein;
-wa na wasiwasi;Zweifel hegen;;Verb;;;;;;;;0;wa na wasiwasi;kuwa na wasiwasi;Allgemein;
-wa na wasiwasi;Skrupel haben;;Verb;;;;;;;;0;wa na wasiwasi;kuwa na wasiwasi;Allgemein;
-wa sawsasawa;ähnlich sein;;Verb;;;;;;;;0;wa sawsasawa;kuwa sawsasawa;Allgemein;
-wa sawsasawa;gleich sein;;Verb;;;;;;;;0;wa sawsasawa;kuwa sawsasawa;Allgemein;
-washa;anschalten;;Verb;;;;;;;;0;washa;kuwasha;Allgemein;
-washa;starten;;Verb;;;;;;;;0;washa;kuwasha;Allgemein;
-weka;stellen;;Verb;;;;;;;;0;weka;kuweka;Allgemein;
-weka;legen;;Verb;;;;;;;;0;weka;kuweka;Allgemein;
-weka akiba;auf Vorrat legen;;Verb;;;;;;;;0;weka akiba;kuweka akiba;Allgemein;
-weka akiba;reservieren;;Verb;;;;;;;;0;weka akiba;kuweka akiba;Allgemein;
-zuia;stoppen;;Verb;;;;;;;;0;zuia;kuzuia;Allgemein;
-kuta;[etw. od. jmdn.] vorfinden;;Verb;;;;;;;;0;kuta;kukuta;Allgemein;
-lala;sich ausruhen;;Verb;;;;;;;;0;lala;kulala;Allgemein;
-lala;schlafen;;Verb;;;;;;;;0;lala;kulala;Allgemein;
-lia;schreien;;Verb;;;;;;;;0;lia;kulia;Allgemein;
-lima;anpflanzen;;Verb;;;;;;;;0;lima;kulima;Allgemein;
-lima;kultivieren;;Verb;;;;;;;;0;lima;kulima;Allgemein;
-ogopa;Angst haben;;Verb;;;;;;;;0;ogopa;kuogopa;Allgemein;
-omba;beten;;Verb;;;;;;;;0;omba;kuomba;Allgemein;
-omba;bitten;;Verb;;;;;;;;0;omba;kuomba;Allgemein;
-omba;erbitten;;Verb;;;;;;;;0;omba;kuomba;Allgemein;
-ona;wahrnehmen;;Verb;;;;;;;;0;ona;kuona;Allgemein;
-ona;spüren;;Verb;;;;;;;;0;ona;kuona;Allgemein;
-ona;merken;;Verb;;;;;;;;0;ona;kuona;Allgemein;
-ona;der Meinung sein;;Verb;;;;;;;;0;ona;kuona;Allgemein;
-ona;betrachten;;Verb;;;;;;;;0;ona;kuona;Allgemein;
-ona;befinden;;Verb;;;;;;;;0;ona;kuona;Allgemein;
-sema;sagen;;Verb;;;;;;;;0;sema;kusema;Allgemein;
-shindana;disputieren;;Verb;;;;;;;;0;shindana;kushindana;Allgemein;
-shindana;in Wettstreit treten;;Verb;;;;;;;;0;shindana;kushindana;Allgemein;
-shindwa;versagen;;Verb;;;;;;;;0;shindwa;kushindwa;Allgemein;
-shindwa;missglücken;;Verb;;;;;;;;0;shindwa;kushindwa;Allgemein;
-taka;verlangen;;Verb;;;;;;;;0;taka;kutaka;Allgemein;
-taka;wünschen;;Verb;;;;;;;;0;taka;kutaka;Allgemein;
-taka;fordern;;Verb;;;;;;;;0;taka;kutaka;Allgemein;
-tazama;etw. ansehen;;Verb;;;;;;;;0;tazama;kutazama;Allgemein;
-tazama;betrachten;;Verb;;;;;;;;0;tazama;kutazama;Allgemein;
-tazama;beobachten;;Verb;;;;;;;;0;tazama;kutazama;Allgemein;
-tengeneza;herstellen;;Verb;;;;;;;;0;tengeneza;kutengeneza;Allgemein;
-tengeneza;produzieren;;Verb;;;;;;;;0;tengeneza;kutengeneza;Allgemein;
-tengeneza;erzeugen;;Verb;;;;;;;;0;tengeneza;kutengeneza;Allgemein;
-tosha;reichen;;Verb;;;;;;;;0;tosha;kutosha;Allgemein;
-tosha;ausreichend sein;;Verb;;;;;;;;0;tosha;kutosha;Allgemein;
-tuma;senden;;Verb;;;;;;;;0;tuma;kutuma;Allgemein;
-tuma kwa;senden an;;Verb;;;;;;;;0;tuma kwa;kutuma kwa;Allgemein;
-tuma kwa;schicken an;;Verb;;;;;;;;0;tuma kwa;kutuma kwa;Allgemein;
-tumia;benutzen;;Verb;;;;;;;;0;tumia;kutumia;Allgemein;
-tumia;gebrauchen;;Verb;;;;;;;;0;tumia;kutumia;Allgemein;
bahati;Erfolg;;Substantiv;9/10;0;bahati;9;bahati;10;Erfolge;;;;Allgemein;
bahati;Gelingen;;Substantiv;9/10;0;bahati;9;bahati;10;;;;;Allgemein;
baraka;Glück;;Substantiv;9/10;0;baraka;9;baraka;10;;;;;Allgemein;
bati;Wellblech;;Substantiv;5/6;0;bati;5;mabati;6;Wellbleche;;;;Allgemein;
birika;Wasserbehälter;;Substantiv;5/6;0;birika;5;mabirika;6;Wasserbehälter;;;;Allgemein;meist aus Metall
chombo;Instrument;;Substantiv;7/8;0;chombo;7;vyombo;8;Instrumente;;;;Allgemein;
chombo;Apparat;;Substantiv;7/8;0;chombo;7;vyombo;8;Apparate;;;;Allgemein;
choo;Kot;;Substantiv;7/8;0;choo;7;vyoo;8;;;;;Allgemein;
choo;Stuhl;;Substantiv;7/8;0;choo;7;vyoo;8;;;;;Allgemein;
chuo;College;;Substantiv;7/8;0;chuo;7;vyuo;8;Colleges;;;;Allgemein;
chuo;Hochschule;;Substantiv;7/8;0;chuo;7;vyuo;8;Hochschulen;;;;Allgemein;
daktari;Doktor;;Substantiv;5/6;0;daktari;5;madaktari;6;Doktoren;;;;Allgemein;
duka;Geschäft;;Substantiv;5/6;0;duka;5;maduka;6;Geschäfte;;;;Allgemein;
fundi;Spezialist;;Substantiv;5/6;0;fundi;5;mafundi;6;Spezialisten;;;;Allgemein;
fundi;Meister;;Substantiv;5/6;0;fundi;5;mafundi;6;Meister;;;;Allgemein;
gari;Wagen;;Substantiv;5/6;0;gari;5;magari;6;Wagen;;;;Allgemein;
gari;Gefährt;;Substantiv;5/6;0;gari;5;magari;6;Gefährte;;;;Allgemein;
hali;Lage;;Substantiv;9/10;0;hali;9;hali;10;Lagen;;;;Allgemein;
hali;Situation;;Substantiv;9/10;0;hali;9;hali;10;Situationen;;;;Allgemein;
hitaji;Notwendigkeit;;Substantiv;5/6;0;hitaji;5;mahitaji;6;Notwendigkeiten;;;;Allgemein;Im Singular auch oft: mahitaji
jambo;Sache;;Substantiv;5/6;0;jambo;5;mambo;6;Sachen;;;;Allgemein;
-ambukiza;anstecken;;Verb;;;;;;;;0;ambukiza;kuambukiza;Allgemein;
-ambukiza;infizieren;;Verb;;;;;;;;0;ambukiza;kuambukiza;Allgemein;
-ambukiza;verseuchen;;Verb;;;;;;;;0;ambukiza;kuambukiza;Allgemein;
-ambukiza;übertragen;;Verb;;;;;;;;0;ambukiza;kuambukiza;Allgemein;
ugonjwa wa kuambukiza;ansteckende Krankheit;;Ausdruck;;;;;;;;;;;Allgemein;
-ambukizwa;infiziert sein;;Verb;;;;;;;;0;ambukizwa;kuambukizwa;Allgemein;
-ambukizwa;verseucht sein;;Verb;;;;;;;;0;ambukizwa;kuambukizwa;Allgemein;
-ambukizwa kwa;verseucht sein mit;;Verb;;;;;;;;0;ambukizwa kwa;kuambukizwa kwa;Allgemein;
-ambukizwa kwa;angesteckt sein mit;;Verb;;;;;;;;0;ambukizwa kwa;kuambukizwa kwa;Allgemein;
-mwaga;ausgiessen;;Verb;;;;;;;;0;mwaga;kumwaga;Allgemein;
-mwaga;ausleeren;;Verb;;;;;;;;0;mwaga;kumwaga;Allgemein;
-mwaga;ausschütten;;Verb;;;;;;;;0;mwaga;kumwaga;Allgemein;
-mwaga;verschütten;;Verb;;;;;;;;0;mwaga;kumwaga;Allgemein;
-mwagilia;giessen;;Verb;;;;;;;;0;mwagilia;kumwagilia;Allgemein;
-mwagilia;bewässern;;Verb;;;;;;;;0;mwagilia;kumwagilia;Allgemein;
-mwagilia maua;Blumen giessen;;Verb;;;;;;;;0;mwagilia maua;kumwagilia maua;Allgemein;
-mwagika;verschüttet sein;;Verb;;;;;;;;0;mwagika;kumwagika;Allgemein;
-mwagika;ausgegossen sein;;Verb;;;;;;;;0;mwagika;kumwagika;Allgemein;
kichaa;Geistesstörung;;Substantiv;7;0;kichaa;7;;;;;;;Allgemein;
kichaa;Wahnsinn;;Substantiv;7;0;kichaa;7;;;;;;;Allgemein;
kichaa;Wahnsinniger;;Substantiv;7/8;0;kichaa;7;vichaa;8;Wahnsinnige;;;;Allgemein;
kichaa;Geistesgestörter;;Substantiv;7/8;0;kichaa;7;vichaa;8;Geistesgestörte;;;;Allgemein;
kichaa;Verrückter;;Substantiv;7/8;0;kichaa;7;vichaa;8;Verrückte;;;;Allgemein;
-wa kichaa;verrückt sein;;Verb;;;;;;;;0;wa kichaa;kuwa kichaa;Allgemein;
-wa kichaa;geistesgestört sein;;Verb;;;;;;;;0;wa kichaa;kuwa kichaa;Allgemein;
kichaa cha mbwa;Tollwut;;Substantiv;7;0;kichaa cha mbwa;7;;;;;;;Allgemein;
mwangaza;Helligkeit;;Substantiv;3/4;0;mwangaza;3;miangaza;4;Helligkeiten;;;;Allgemein;
mwangaza;Licht;;Substantiv;3/4;0;mwangaza;3;miangaza;4;;;;;Allgemein;
mwangaza;Erleuchtung;;Substantiv;3/4;0;mwangaza;3;miangaza;4;Erleuchtungen;;;;Allgemein;
mwangaza;Deutlichkeit;;Substantiv;3/4;0;mwangaza;3;miangaza;4;Deutlichkeiten;;;;Allgemein;
mwangaza;Aufklärung;;Substantiv;3/4;0;mwangaza;3;miangaza;4;Aufklärungen;;;;Allgemein;
mwanga;Licht;;Substantiv;3/4;0;mwanga;3;mianga;4;Lichter;;;;Allgemein;
mwanga;Schein;;Substantiv;3/4;0;mwanga;3;mianga;4;;;;;Allgemein;
mwanga;Glanz;;Substantiv;3/4;0;mwanga;3;mianga;4;;;;;Allgemein;
mwanga wa taa;Scheinwerferlicht;;Substantiv;3/4;0;mwanga wa taa;3;mianga ya taa;4;Scheinwerferlichter;;;;Allgemein;
mwendo;Geschwindigkeit;;Substantiv;3/4;0;mwendo;3;miendo;4;Geschwindigkeiten;;;;Allgemein;
mwendo;Bewegung;;Substantiv;3/4;0;mwendo;3;miendo;4;Bewegungen;;;;Allgemein;
mwendo;Fortbewegung;;Substantiv;3/4;0;mwendo;3;miendo;4;Fortbewegungen;;;;Allgemein;
-bonyeza;anklicken;;Verb;;;;;;;;0;bonyeza;kubonyeza;Computer;
-oga;baden;;Verb;;;;;;;;0;oga;kuoga;Allgemein;
-oga;Körper waschen;;Verb;;;;;;;;0;oga;kuoga;Allgemein;
-oga;duschen;;Verb;;;;;;;;0;oga;kuoga;Allgemein;
-kubali;einwilligen;;Verb;;;;;;;;0;kubali;kukubali;Allgemein;
-kubali;zustimmen;;Verb;;;;;;;;0;kubali;kukubali;Allgemein;
-zidi;mehr werden;;Verb;;;;;;;;0;zidi;kuzidi;Allgemein;
-zidi;grösser werden;;Verb;;;;;;;;0;zidi;kuzidi;Allgemein;
-zidi;anwachsen;;Verb;;;;;;;;0;zidi;kuzidi;Allgemein;
-zidi;zu viel sein;;Verb;;;;;;;;0;zidi;kuzidi;Allgemein;
Kazi imenizidi.;Die Arbeit ist zuviel für mich.;;Beispiel;;;;;;;;;;;Allgemein;
Mambo yamezidi.;Es ist alles schlimmer geworden.;;Beispiel;;;;;;;;;;;Allgemein;
mzee;Alter;;Substantiv;1/2;0;mzee;1;wazee;2;Alte;;;;Allgemein;
mzee;Ältester;;Substantiv;1/2;0;mzee;1;wazee;2;Älteste;;;;Allgemein;
mzee;Greis;;Substantiv;1/2;0;mzee;1;wazee;2;Greise;;;;Allgemein;
mzee;Vater;;Substantiv;1/2;0;mzee;1;wazee;2;Väter;;;;Allgemein;
mzee;Mann;;Substantiv;1/2;0;mzee;1;wazee;2;Mann;;;;Allgemein;
wazee;Eltern;;Substantiv;2;0;;;wazee;2;Eltern;;;;Allgemein;
mwanzo;Anfang;;Substantiv;3/4;0;mwanzo;3;mianzo;4;Anfänge;;;;Allgemein;
fungu;Teil;;Substantiv;3/4;0;fungu;3;mafungu;4;Teile;;;;Allgemein;
fungu;Stück;;Substantiv;3/4;0;fungu;3;mafungu;4;Stücke;;;;Allgemein;
fungu;Anteil;;Substantiv;3/4;0;fungu;3;mafungu;4;Anteile;;;;Allgemein;
fungu;Abschnitt;;Substantiv;3/4;0;fungu;3;mafungu;4;Abschnitte;;;;Allgemein;
kijiti;Stock;;Substantiv;7/8;0;kijiti;7;vijiti;8;Stöcke;;;;Allgemein;
kijiti;Hölzchen;;Substantiv;7/8;0;kijiti;7;vijiti;8;Hölzchen;;;;Allgemein;
kijiti;Stab;;Substantiv;7/8;0;kijiti;7;vijiti;8;Stäbe;;;;Allgemein;
kikapu;Korb;;Substantiv;7/8;0;kikapu;7;vikapu;8;Körbe;;;;Allgemein;
hadithi;Geschichte;;Substantiv;9/10;0;hadithi;9;hadithi;10;Geschichten;;;;Allgemein;
hadithi;Erzählung;;Substantiv;9/10;0;hadithi;9;hadithi;10;Erzählungen;;;;Allgemein;
nguvu;Stärke;;Substantiv;9/10;0;nguvu;9;nguvu;10;Stärken;;;;Allgemein;
nguvu;Kraft;;Substantiv;9/10;0;nguvu;9;nguvu;10;Kräfte;;;;Allgemein;
nguvu;Energie;;Substantiv;9/10;0;nguvu;9;nguvu;10;Energien;;;;Allgemein;
methali;Sprichwort;;Substantiv;9/10;0;methali;9;methali;10;Sprichwörter;;;;Allgemein;
chawa;Laus;;Substantiv;9/10;0;chawa;9;chawa;10;Läuse;;;;Allgemein;
Kidole kimoja hakivunji chawa.;Ein einzelner Finger tötet keine Laus.;;Beispiel;;;;;;;;;;;Allgemein;Sprichwort: Alleine kann man nichts ausrichten, nur gemeinsam.
umoja;Einigkeit;;Substantiv;11;0;umoja;11;;;;;;;Allgemein;
umoja;Einheit;;Substantiv;11;0;umoja;11;;;;;;;Allgemein;
umoja;Gemeinsamkeit;;Substantiv;11;0;umoja;11;;;;;;;Allgemein;
umoja;Vereinigung;;Substantiv;11;0;umoja;11;;;;;;;Allgemein;
umoja;Liga;;Substantiv;11;0;umoja;11;;;;;;;Allgemein;
umoja;Verband;;Substantiv;11;0;umoja;11;;;;;;;Allgemein;
umoja;Union;;Substantiv;11;0;umoja;11;;;;;;;Allgemein;
Umoja ni nguvu.;Einigkeit ist Stärke.;;Beispiel;;;;;;;;;;;Allgemein;
urahisi;Leichtigkeit;;Substantiv;11;0;urahisi;11;;;;;;;Allgemein;
urahisi;Billigkeit;;Substantiv;11;0;urahisi;11;;;;;;;Allgemein;
urahisi;billiger Preis;;Substantiv;11;0;urahisi;11;;;;;;;Allgemein;
rahisi;billig;;Adjektiv;;;;;;;;;;;Allgemein;
-simama;stehen;;Verb;;;;;;;;0;simama;kusimama;Allgemein;
-simama;aufstehen;;Verb;;;;;;;;0;simama;kusimama;Allgemein;
-simama;stehen bleiben;;Verb;;;;;;;;0;simama;kusimama;Allgemein;
-simama;stoppen;;Verb;;;;;;;;0;simama;kusimama;Allgemein;
Simama!;Stopp!;;Sonstige;;;;;;;;;;;Allgemein;
-keti;sich setzen;;Verb;;;;;;;;0;keti;kuketi;Allgemein;
-keti;sich niederlassen;;Verb;;;;;;;;0;keti;kuketi;Allgemein;
-keti;Platz nehmen;;Verb;;;;;;;;0;keti;kuketi;Allgemein;
-keti;sitzen;;Verb;;;;;;;;0;keti;kuketi;Allgemein;
Tafadhali uketi.;Bitte nehmen Sie Platz.;;Ausdruck;;;;;;;;;;;Allgemein;
-keti kitini;auf einem Stuhl Platz nehmen;;Verb;;;;;;;;0;keti kitini;kuketi kitini;Allgemein;
chochote;irgendetwas;;Sonstige;;;;;;;;;;;Allgemein;
chochote;irgendein(e);;Sonstige;;;;;;;;;;;Allgemein;
kitu chochote;irgendetwas;;Ausdruck;;;;;;;;;;;Allgemein;
hawajui chochote;sie wissen gar nichts;;Ausdruck;;;;;;;;;;;Allgemein;
-choka;müde sein;;Verb;;;;;;;;0;choka;kuchoka;Allgemein;
-choka;müde werden;;Verb;;;;;;;;0;choka;kuchoka;Allgemein;
Nimechoka.;Ich bin müde;;Ausdruck;;;;;;;;;;;Allgemein;
-lewa;betrunken sein;;Verb;;;;;;;;0;lewa;kulewa;Allgemein;
-lewa;betrunken werden;;Verb;;;;;;;;0;lewa;kulewa;Allgemein;
-lewa;torkeln;;Verb;;;;;;;;0;lewa;kulewa;Allgemein;
-lewa;schwanken;;Verb;;;;;;;;0;lewa;kulewa;Allgemein;
-lewa;taumeln;;Verb;;;;;;;;0;lewa;kulewa;Allgemein;
-jaa;voll sein;;Verb;;;;;;;;0;jaa;kujaa;Allgemein;
-jaa;voll werden;;Verb;;;;;;;;0;jaa;kujaa;Allgemein;
-shiba;satt werden;;Verb;;;;;;;;0;shiba;kushiba;Allgemein;
-shiba;satt sein;;Verb;;;;;;;;0;shiba;kushiba;Allgemein;
nimeshiba;ich bin satt;;Ausdruck;;;;;;;;;;;Allgemein;
hasara;Verlust;;Substantiv;9/10;0;hasara;9;hasara;10;Verluste;;;;Allgemein;
hasara;Schaden;;Substantiv;9/10;0;hasara;9;hasara;10;Schäden;;;;Allgemein;
hasara;Nachteil;;Substantiv;9/10;0;hasara;9;hasara;10;Nachteile;;;;Allgemein;
jamaa;Familie;;Substantiv;9/10;0;jamaa;9;jamaa;10;Familien;;;;Allgemein;
jamaa;Verwandtschaft;;Substantiv;9/10;0;jamaa;9;jamaa;10;Verwandtschaften;;;;Allgemein;
jirani;Nachbar;;Substantiv;9/10;0;jirani;9;jirani;10;Nachbarn;;;;Allgemein;
jirani;nahe;;Adverb;;;;;;;;;;;Allgemein;
jirani;in der Nähe;;Adverb;;;;;;;;;;;Allgemein;
mara moja;sofort;;Sonstige;;;;;;;;;;;Allgemein;
mara moja;einmal;;Sonstige;;;;;;;;;;;Allgemein;
ndani;drinnen;;Adverb;;;;;;;;;;;Allgemein;
ndani;drin;;Adverb;;;;;;;;;;;Allgemein;
ndani;innen;;Adverb;;;;;;;;;;;Allgemein;
ndani;innerhalb;;Adverb;;;;;;;;;;;Allgemein;
ndani;hinein;;Adverb;;;;;;;;;;;Allgemein;
ndani ya;in;;Sonstige;;;;;;;;;;;Allgemein;
ndani ya;innerhalb von;;Sonstige;;;;;;;;;;;Allgemein;
mbele;vorn;;Adverb;;;;;;;;;;;Allgemein;
mbele;voran;;Adverb;;;;;;;;;;;Allgemein;
mbele ya;nach vorn;;Sonstige;;;;;;;;;;;Allgemein;
-a mbele;vordere(r, -s);;Adjektiv;;;;;;;;;;;Allgemein;
mbele;vorher;;Adverb;;;;;;;;;;;Allgemein;
mbele;davor;;Adverb;;;;;;;;;;;Allgemein;
mbele;früher;;Adverb;;;;;;;;;;;Allgemein;
nilisema mbele kuwa;ich habe es vorher gesagt, dass;;Ausdruck;;;;;;;;;;;Allgemein;
nyuma;hinten;;Adverb;;;;;;;;;;;Allgemein;
nyuma;zurück;;Adverb;;;;;;;;;;;Allgemein;
nyuma ya;hinter;;Sonstige;;;;;;;;;;;Allgemein;
-a nyuma;hintere(r, -s);;Adjektiv;;;;;;;;;;;Allgemein;
nyuma;nach hinten;;Adverb;;;;;;;;;;;Allgemein;
chini;unten;;Adverb;;;;;;;;;;;Allgemein;
chini;nach unten;;Adverb;;;;;;;;;;;Allgemein;
chini;auf dem Boden;;Adverb;;;;;;;;;;;Allgemein;
chini;auf den Boden;;Adverb;;;;;;;;;;;Allgemein;
-anguka chini;auf den Boden fallen;;Ausdruck;;;;;;;;;;;Allgemein;
-lala chini;sich hinlegen;;Verb;;;;;;;;0;lala chini;kulala chini;Allgemein;
-a chini;untere(r, -s);;Adjektiv;;;;;;;;;;;Allgemein;
-a chini;niedrig;;Adjektiv;;;;;;;;;;;Allgemein;
chini ya;unter;;Sonstige;;;;;;;;;;;Allgemein;
chini ya;unterhalb;;Sonstige;;;;;;;;;;;Allgemein;
chini ya;im unteren Teil;;Sonstige;;;;;;;;;;;Allgemein;
kando;daneben;;Adverb;;;;;;;;;;;Allgemein;
kando;beiseite;;Adverb;;;;;;;;;;;Allgemein;
kando ya;neben;;Sonstige;;;;;;;;;;;Allgemein;
kando ya;längs;;Sonstige;;;;;;;;;;;Allgemein;
kando ya;entlang;;Sonstige;;;;;;;;;;;Allgemein;
kando;Seite;;Substantiv;9/10;0;kando;9;kando;10;Seiten;;;;Allgemein;
kando;Rand;;Substantiv;9/10;0;kando;9;kando;10;Ränder;;;;Allgemein;
ukurasa;Buchseite;;Substantiv;11/10;0;ukurasa;11;kurasa;10;Buchseiten;;;;Allgemein;
ukurasa;Webseite;;Substantiv;11/10;0;ukurasa;11;kurasa;10;Webseiten;;;;Allgemein;
toka;von;;Sonstige;;;;;;;;;;;Allgemein;
toka;aus;;Sonstige;;;;;;;;;;;Allgemein;
toka;seit;;Sonstige;;;;;;;;;;;Allgemein;
Toka!;Geh weg!;;Sonstige;;;;;;;;;;;Allgemein;
Tokeni!;Geht weg!;;Sonstige;;;;;;;;;;;Allgemein;
toka huko;von dort;;Sonstige;;;;;;;;;;;Allgemein;
toka hapo;seitdem;;Sonstige;;;;;;;;;;;Allgemein;
toka jana;seit gestern;;Ausdruck;;;;;;;;;;;Allgemein;
toka leo;von heute an;;Ausdruck;;;;;;;;;;;Allgemein;
salamu;Gruss;;Substantiv;9/10;0;salamu;9;salamu;10;Grüsse;;;;Allgemein;
salamu;Begrüssung;;Substantiv;9/10;0;salamu;9;salamu;10;Begrüssungen;;;;Allgemein;
salaam;Begrüssung;;Substantiv;9/10;0;salaam;9;salaam;10;Begrüssungen;;;;Allgemein;
salaam;Gruss;;Substantiv;9/10;0;salaam;9;salaam;10;Grüsse;;;;Allgemein;
-toa salamu;grüssen;;Verb;;;;;;;;0;toa salamu;kutoa salamu;Allgemein;
-toa salamu;begrüssen;;Verb;;;;;;;;0;toa salamu;kutoa salamu;Allgemein;
-pa salamu;begrüssen;;Verb;;;;;;;;0;pa salamu;kupa salamu;Allgemein;
-pa salamu;grüssen;;Verb;;;;;;;;0;pa salamu;kupa salamu;Allgemein;
-peleka salamu;Grüsse übermitteln;;Verb;;;;;;;;0;peleka salamu;kupeleka salamu;Allgemein;
salama;Frieden;;Substantiv;9/10;0;salama;9;salama;10;Frieden;;;;Allgemein;
salama;Sicherheit;;Substantiv;9/10;0;salama;9;salama;10;Sicherheiten;;;;Allgemein;
salama;Ruhe;;Substantiv;9/10;0;salama;9;salama;10;;;;;Allgemein;
salama;Wohl;;Substantiv;9/10;0;salama;9;salama;10;;;;;Allgemein;
